Front,Back,Tags,Extra
"What are the three components needed to declare a class variable/field in Java?","Access modifier, Field type, Field name","Variables;Week1;Basics"
"What does the 'public' access modifier mean?","The field is accessible from all classes","Access Modifiers;Week1;Basics"
"What does the 'private' access modifier mean?","The field is accessible only within its own class","Access Modifiers;Week1;Basics"
"What does the 'protected' access modifier mean?","The field is accessible within a class package (directory with related classes)","Access Modifiers;Week1;Basics"
"What is a static field/class variable?","A field declared with the 'static' modifier; there is exactly one copy regardless of how many times the class is instantiated","Variables;Week1;Static"
"What is an instance variable?","Variables that are unique to each instance of a class","Variables;Week1;Instance"
"What is a local variable?","Variables that hold temporary state inside a method","Variables;Week1;Local"
"What are the four integer types in Java and their sizes?","byte (1 byte/8 bits), short (2 bytes/16 bits), int (4 bytes/32 bits), long (8 bytes/64 bits)","Data Types;Week1;Integers"
"What is the value range for a byte variable?","-128 to 127 (2^8 = 256 possible values)","Data Types;Week1;Integers"
"What are the two real number types in Java and their sizes?","float (4 bytes/32 bits), double (8 bytes/64 bits)","Data Types;Week1;Real Numbers"
"What is the size of a char type?","2 bytes or 16 bits","Data Types;Week1;Char"
"What values can a boolean type hold?","true or false (cannot use 1 and 0 like in C++)","Data Types;Week1;Boolean"
"What is the primitive types ordering from smallest to largest?","byte → short → int → long → float → double","Data Types;Week1;Type Casting"
"What happens when you assign a smaller type to a larger type?","Automatic type conversion (widening) - no explicit casting needed","Data Types;Week1;Type Casting"
"What happens when you assign a larger type to a smaller type?","Requires explicit typecasting (narrowing)","Data Types;Week1;Type Casting"
"What are the default initializations for class instance variables?","boolean: false, primitives (numbers): 0, char: space, class types: null","Data Types;Week1;Initialization"
"Are local variables automatically initialized?","No, it is the programmer's responsibility to initialize local variables","Data Types;Week1;Initialization"
"How do you initialize a float variable?","Include the letter 'f' in the value: float price = 2.3f;","Data Types;Week1;Initialization"
"What happens when casting from floating-point to integer?","The number is truncated, not rounded: (int)2.9 evaluates to 2, not 3","Data Types;Week1;Type Casting"
"What is type coercion?","Automatic type cast when assigning integer to floating-point: double d = 5;","Data Types;Week1;Type Casting"
"What is bytecode?","Compiled version of Java code created by javac; platform-independent and runs on JVM","Java Basics;Week1;Compilation"
"What is a class?","Blueprint for creating objects; defines attributes (variables) and behaviors (methods)","Java Basics;Week1;OOP"
"What is an object?","Instance of a class; contains its own values for instance variables","Java Basics;Week1;OOP"
"What is the JVM?","Java Virtual Machine that executes Java bytecode; provides platform independence","Java Basics;Week1;JVM"
"What is a method?","Block of code that performs a task; can accept parameters and return values","Java Basics;Week1;Methods"
"What is the difference between System.out.print and System.out.println?","print displays text without newline; println displays text and moves cursor to next line","Output;Week1;Print Methods"
"What is printf used for?","Formatted output with control over formatting; does not advance to next line after outputting","Output;Week1;Printf"
"What format specifier is ideal for displaying monetary values?","%.2f - displays exactly two decimal places","Output;Week1;Formatting"
"What does %d format specifier do?","Formats decimal (integer) numbers in base 10","Output;Week1;Format Specifiers"
"What does %f format specifier do?","Formats floating-point numbers","Output;Week1;Format Specifiers"
"What does %s format specifier do?","Formats String values","Output;Week1;Format Specifiers"
"What does %c format specifier do?","Formats character values","Output;Week1;Format Specifiers"
"What does %% do in printf?","Prints a percent sign","Output;Week1;Format Specifiers"
"What is NumberFormat.getCurrencyInstance() used for?","Formats numbers as money based on locale","Formatting;Week2;Currency"
"What is the default locale for currency formatting?","Your system's region (often Locale.US → $)","Formatting;Week2;Currency"
"What does Locale.ENGLISH show for currency?","Generic currency sign ¤ (because no country is specified)","Formatting;Week2;Currency"
"What does Locale.GERMANY show for currency?","Euro with German formatting: 39,80 €","Formatting;Week2;Currency"
"What is a package in Java?","Collection of related classes and interfaces stored in JAR files","Packages;Week2;Basics"
"Why use packages?","Keeps code organized, groups related classes, makes large projects manageable, allows code reuse","Packages;Week2;Basics"
"Which package is imported automatically?","java.lang (contains Math, String, wrapper classes)","Packages;Week2;Imports"
"Where must import statements be placed?","At the top of the file, after package (if any) and before your class","Packages;Week2;Imports"
"What is CLASSPATH?","List of directories Java searches for classes; similar to PATH","Packages;Week2;CLASSPATH"
"What does '.' (dot) mean in CLASSPATH?","Current working directory is included","Packages;Week2;CLASSPATH"
"How do you avoid name clashes between classes?","Use fully qualified names: package_name.ClassName","Packages;Week2;Name Clashes"
"What is DecimalFormat used for?","Custom number formatting (percentages, fixed decimals, scientific notation)","Formatting;Week2;DecimalFormat"
"What does '0.00%' format do?","Formats numbers as percentages","Formatting;Week2;DecimalFormat"
"What does '#0.###E0' format do?","Scientific notation with 1+ digit before decimal (flexible)","Formatting;Week2;DecimalFormat"
"What does '00.###E0' format do?","Scientific notation that forces 2 digits before decimal","Formatting;Week2;DecimalFormat"
"What is the Scanner class used for?","Reading user input from keyboard, files, or strings","Input;Week2;Scanner"
"What package is Scanner in?","java.util (must import java.util.Scanner)","Input;Week2;Scanner"
"How do you create a Scanner object for keyboard input?","Scanner keyboard = new Scanner(System.in);","Input;Week2;Scanner"
"What does nextInt() do?","Reads an integer from input","Input;Week2;Scanner Methods"
"What does nextDouble() do?","Reads a double from input","Input;Week2;Scanner Methods"
"What does next() do?","Reads a single word (stops at whitespace)","Input;Week2;Scanner Methods"
"What does nextLine() do?","Reads an entire line (until \n - Enter key)","Input;Week2;Scanner Methods"
"What is the issue with mixing nextInt() and nextLine()?","nextInt() leaves \n in buffer, so nextLine() reads leftover newline","Input;Week2;Scanner Issues"
"How do you fix the nextInt()/nextLine() issue?","Add an extra nextLine() to clear the buffer","Input;Week2;Scanner Issues"
"How do you change the Scanner delimiter?","Use useDelimiter() method: input.useDelimiter(\"end\");","Input;Week2;Scanner Methods"
"Can Scanner read from files?","Yes, using FileInputStream: Scanner inputFile = new Scanner(new FileInputStream(\"score.txt\"));","Input;Week2;Scanner Files"
"What are wrapper classes?","Classes that convert primitive types to objects and vice versa","Wrapper Classes;Week2;Basics"
"What is autoboxing?","Automatic conversion from primitive to object (e.g., int → Integer)","Wrapper Classes;Week2;Autoboxing"
"What is unboxing?","Automatic conversion from object to primitive (e.g., Integer → int)","Wrapper Classes;Week2;Unboxing"
"What does Integer.parseInt() do?","Converts String to int primitive","Wrapper Classes;Week2;Conversion"
"What does Double.parseDouble() do?","Converts String to double primitive","Wrapper Classes;Week2;Conversion"
"What does Double.toString() do?","Converts double to String","Wrapper Classes;Week2;Conversion"
"What is StringTokenizer used for?","Breaking a string into tokens using a delimiter","String Processing;Week2;StringTokenizer"
"How do you create a StringTokenizer?","StringTokenizer tokens = new StringTokenizer(input, \",\");","String Processing;Week2;StringTokenizer"
"What does countTokens() do?","Returns the number of tokens remaining","String Processing;Week2;StringTokenizer"
"What does nextToken() do?","Returns the next token from the string","String Processing;Week2;StringTokenizer"
"What are the comparison operators in Java?","== (equal), != (not equal), > (greater), >= (greater or equal), < (less), <= (less or equal)","Control Flow;Week3;Operators"
"How do you compare strings for equality?","Use .equals() method: str1.equals(str2)","Control Flow;Week3;String Comparison"
"How do you compare strings ignoring case?","Use .equalsIgnoreCase() method","Control Flow;Week3;String Comparison"
"What does compareTo() return?","<0 if s1 comes before s2, =0 if equal, >0 if s1 comes after s2","Control Flow;Week3;String Comparison"
"What is lexicographic ordering based on?","ASCII values (uppercase letters come before lowercase)","Control Flow;Week3;String Comparison"
"What does the && operator do?","AND - true only if both conditions are true","Control Flow;Week3;Logical Operators"
"What does the || operator do?","OR - true if at least one condition is true","Control Flow;Week3;Logical Operators"
"What does the ! operator do?","NOT - negates a condition","Control Flow;Week3;Logical Operators"
"What is short-circuit evaluation?","&& stops if first is false; || stops if first is true","Control Flow;Week3;Logical Operators"
"What is the syntax for if-else?","if (Boolean_Expression) Yes_Statement; else No_Statement;","Control Flow;Week3;If-Else"
"When do you need braces in if-else?","When a branch has multiple statements","Control Flow;Week3;If-Else"
"Is the else clause required?","No, else is optional - creates a simple if statement","Control Flow;Week3;If-Else"
"What is nested if-else?","If statements placed inside each other","Control Flow;Week3;If-Else"
"What is multiway if-else?","Chains multiple conditions using else if","Control Flow;Week3;If-Else"
"What is the ternary operator syntax?","(condition) ? valueIfTrue : valueIfFalse","Control Flow;Week3;Ternary"
"What is the syntax for switch statement?","switch (Controlling_Expression) { case Case_Label_1: code; break; default: code; }","Control Flow;Week3;Switch"
"What types can be used in switch controlling expression?","char, int, short, byte, or (Java 7+) String","Control Flow;Week3;Switch"
"What happens if you omit break in switch?","Execution falls through to the next case","Control Flow;Week3;Switch"
"What is the default section in switch?","Handles all values not explicitly matched by any case","Control Flow;Week3;Switch"
"What is the syntax for while loop?","while (Boolean_Expression) Statement;","Control Flow;Week3;Loops"
"When is the condition checked in while loop?","Before each iteration","Control Flow;Week3;Loops"
"What is the syntax for do-while loop?","do Statement; while (Boolean_Expression);","Control Flow;Week3;Loops"
"When is the condition checked in do-while loop?","After the loop body executes","Control Flow;Week3;Loops"
"How many times does do-while execute at minimum?","At least once","Control Flow;Week3;Loops"
"What is the syntax for for loop?","for (Initializing; Boolean_Expression; Update) { statements; }","Control Flow;Week3;Loops"
"Can you have multiple variables in for loop initialization?","Yes, separated by commas","Control Flow;Week3;Loops"
"Can you have multiple updates in for loop?","Yes, separated by commas","Control Flow;Week3;Loops"
"What is the for-each loop syntax?","for (type var : arrayOrCollection) { body; }","Control Flow;Week3;Loops"
"Can you modify the loop variable in for-each?","No, the loop variable cannot be assigned inside the loop","Control Flow;Week3;Loops"
"What does break do?","Immediately terminates the nearest enclosing loop or switch statement","Control Flow;Week3;Break Continue"
"What does continue do?","Ends the current iteration and moves to the next iteration","Control Flow;Week3;Break Continue"
"What is labeled break?","Break with a label to exit a specific outer loop in nested loops","Control Flow;Week3;Break Continue"
"What does System.exit(0) do?","Immediately terminates the entire program","Control Flow;Week3;Program Control"
"What is an assertion?","Statement that tests a condition which should always be true","Control Flow;Week3;Assertions"
"What is the assertion syntax?","assert Boolean_Expression;","Control Flow;Week3;Assertions"
"What happens if assertion is false?","Throws AssertionError and stops execution","Control Flow;Week3;Assertions"
"How do you enable assertions?","java -enableassertions ProgramName","Control Flow;Week3;Assertions"
"What package is Random class in?","java.util","Random Numbers;Week3;Random"
"How do you create a Random object?","Random rnd = new Random();","Random Numbers;Week3;Random"
"What does nextInt(n) do?","Returns random integer from 0 to n-1","Random Numbers;Week3;Random Methods"
"What does nextDouble() do?","Returns random double between 0.0 (inclusive) and 1.0 (exclusive)","Random Numbers;Week3;Random Methods"
"What does nextBoolean() do?","Returns random boolean value (true or false)","Random Numbers;Week3;Random Methods"
"What is a constructor?","Special method to initialize instance variables; same name as class, no return type","Constructors;Week4;Basics"
"How is a constructor called?","Automatically with 'new': ClassName obj = new ClassName(args);","Constructors;Week4;Basics"
"Can constructors be overloaded?","Yes, constructors can be overloaded","Constructors;Week4;Overloading"
"What is a no-argument constructor?","Constructor with no parameters","Constructors;Week4;Types"
"When does Java provide a default constructor?","If no constructor is defined","Constructors;Week4;Types"
"What happens if you define any constructor?","You must create your own no-arg constructor if needed","Constructors;Week4;Types"
"Can constructors call other constructors?","Yes, using this()","Constructors;Week4;Chaining"
"Can constructors call methods?","Yes, constructors can invoke methods","Constructors;Week4;Methods"
"What is method overloading?","Same method name, different parameter lists (number/type/order)","Methods;Week4;Overloading"
"Can return type alone differentiate overloaded methods?","No, must differ in method signature","Methods;Week4;Overloading"
"What is call-by-value?","Method arguments are always passed by value (a copy is made)","Methods;Week4;Parameters"
"Are parameters local variables?","Yes, parameters are local variables initialized with argument values","Methods;Week4;Parameters"
"Do changes to parameters affect arguments?","No, changing parameters inside method doesn't affect arguments outside","Methods;Week4;Parameters"
"What is automatic type conversion in methods?","Java automatically promotes compatible primitive types (e.g., int → double)","Methods;Week4;Type Conversion"
"What are local variables?","Variables declared inside a method","Methods;Week4;Variables"
"Does Java have global variables?","No, Java does not have global variables","Methods;Week4;Variables"
"What are static variables?","Variables shared across all objects of the same class","Methods;Week4;Variables"
"What is an anonymous class?","A class without a name that is defined and instantiated at the same time","Advanced Concepts;Vocabulary;Classes"
"What is a class invariant?","A condition that must be true for all instances of a class at all times","Advanced Concepts;Vocabulary;Classes"
"What is a class reference?","A variable that holds the memory address of an object (reference to the object)","Advanced Concepts;Vocabulary;Classes"
"What is a class type?","A data type that is defined by a class (as opposed to primitive types)","Advanced Concepts;Vocabulary;Classes"
"What is a copy constructor?","A constructor that creates a new object by copying the values from another object of the same class","Advanced Concepts;Vocabulary;Constructors"
"What is a deep copy?","A copy where all objects referenced by the original are also copied, creating completely independent objects","Advanced Concepts;Vocabulary;Copying"
"What is an immutable class?","A class whose objects cannot be modified after creation (all fields are final and private)","Advanced Concepts;Vocabulary;Classes"
"What is a lambda expression?","A concise way to represent an anonymous function that can be passed around as data","Advanced Concepts;Vocabulary;Functions"
"What is a mutable class?","A class whose objects can be modified after creation (fields can be changed)","Advanced Concepts;Vocabulary;Classes"
"What is null?","A special value that indicates a reference variable does not point to any object","Advanced Concepts;Vocabulary;References"
"What is pass by reference?","A method of passing arguments where the method receives a reference to the original object","Advanced Concepts;Vocabulary;Parameters"
"What is pass by value?","A method of passing arguments where the method receives a copy of the value (Java uses this)","Advanced Concepts;Vocabulary;Parameters"
"What is a privacy leak?","When private data becomes accessible outside the class through returned references","Advanced Concepts;Vocabulary;Encapsulation"
"What is a shallow copy?","A copy where only the object itself is copied, but referenced objects are shared","Advanced Concepts;Vocabulary;Copying"
"What is a static instance variable?","A class variable that belongs to the class itself rather than any specific instance","Advanced Concepts;Vocabulary;Static"
"What is a static method?","A method that belongs to the class itself and can be called without creating an instance","Advanced Concepts;Vocabulary;Static"
"What is the assert keyword?","A statement that tests a condition which should always be true if the program is running correctly","Control Flow;Vocabulary;Assertions"
