Front,Back,Tags,Extra
"What are the three components needed to declare a class variable/field?","Access modifier, Field type, Field name","Foundation;Variables;Declaration"
"What does the 'public' access modifier mean?","The field is accessible from all classes","Foundation;Access Modifiers;Public"
"What does the 'private' access modifier mean?","The field is accessible only within its own class","Foundation;Access Modifiers;Private"
"What does the 'protected' access modifier mean?","The field is accessible within a class package (directory with related classes)","Foundation;Access Modifiers;Protected"
"What is the size and range of a byte variable?","1 byte (8 bits), range: -128 to 127","Foundation;Data Types;Byte"
"What is the size and range of an int variable?","4 bytes (32 bits), range: -2³¹ to 2³¹-1","Foundation;Data Types;Int"
"What is the size and range of a double variable?","8 bytes (64 bits), range: ±1.7×10³⁰⁸","Foundation;Data Types;Double"
"What is the size of a char variable?","2 bytes (16 bits) for Unicode characters","Foundation;Data Types;Char"
"What is the size of a boolean variable?","1 bit, holds true or false","Foundation;Data Types;Boolean"
"What is the primitive types ordering from smallest to largest?","byte → short → int → long → float → double","Foundation;Type Casting;Ordering"
"What is implicit type casting?","Automatic conversion from smaller to larger types (widening)","Foundation;Type Casting;Implicit"
"What is explicit type casting?","Manual conversion using (type) syntax (narrowing)","Foundation;Type Casting;Explicit"
"What happens when casting from double to int?","The number is truncated, not rounded: (int)2.9 = 2","Foundation;Type Casting;Truncation"
"How do you preserve decimal places in division?","Cast at least one operand to double: double result = x / (double)y;","Foundation;Type Casting;Division"
"What are the default initializations for instance variables?","boolean: false, numbers: 0, char: space, objects: null","Foundation;Initialization;Defaults"
"Are local variables automatically initialized?","No, local variables must be explicitly initialized by the programmer","Foundation;Initialization;Local Variables"
"What is the difference between == and .equals() for strings?","== compares memory addresses, .equals() compares content","Foundation;String Comparison;Equality"
"What are the logical operators in Java?","&& (AND), || (OR), ! (NOT)","Foundation;Logical Operators;Basics"
"What is short-circuit evaluation?","&& stops if first is false, || stops if first is true","Foundation;Logical Operators;Short Circuit"
"What is the syntax for if-else statements?","if (condition) { } else if (condition) { } else { }","Foundation;Control Flow;If-Else"
"What is the syntax for switch statements?","switch (expression) { case value: break; default: break; }","Foundation;Control Flow;Switch"
"What types can be used in switch expressions?","char, int, short, byte, or (Java 7+) String","Foundation;Control Flow;Switch Types"
"What happens if you omit break in switch?","Execution falls through to the next case","Foundation;Control Flow;Switch Fall Through"
"What is the difference between while and do-while?","while checks condition first, do-while executes at least once","Foundation;Control Flow;Loops"
"What is the syntax for for loops?","for (init; condition; update) { }","Foundation;Control Flow;For Loop"
"What is the syntax for for-each loops?","for (type var : collection) { }","Foundation;Control Flow;For-Each"
"What does break do in loops?","Exits the loop immediately","Foundation;Control Flow;Break"
"What does continue do in loops?","Skips to the next iteration","Foundation;Control Flow;Continue"
"What is method overloading?","Same method name with different parameter lists","Foundation;Methods;Overloading"
"What is call-by-value?","Method arguments are copied, not referenced","Foundation;Methods;Call by Value"
"What is a constructor?","Special method that initializes instance variables, same name as class","Foundation;Constructors;Basics"
"Can constructors be overloaded?","Yes, constructors can have different parameter lists","Foundation;Constructors;Overloading"
"When is a default constructor provided?","When no constructors are defined in the class","Foundation;Constructors;Default"
"How do you create a Scanner object?","Scanner input = new Scanner(System.in);","Foundation;Input;Scanner"
"What does nextInt() do?","Reads an integer from input","Foundation;Input;Scanner Methods"
"What does nextLine() do?","Reads an entire line (until Enter key)","Foundation;Input;Scanner Methods"
"What is the issue with mixing nextInt() and nextLine()?","nextInt() leaves newline in buffer, nextLine() reads it","Foundation;Input;Scanner Issues"
"How do you fix the nextInt()/nextLine() issue?","Add an extra nextLine() to clear the buffer","Foundation;Input;Scanner Fix"
"What does System.out.print() do?","Displays text without adding a newline","Foundation;Output;Print Methods"
"What does System.out.println() do?","Displays text and adds a newline","Foundation;Output;Print Methods"
"What does System.out.printf() do?","Displays formatted text with format specifiers","Foundation;Output;Printf"
"What does %d format specifier do?","Formats integers in base 10","Foundation;Formatting;Specifiers"
"What does %f format specifier do?","Formats floating-point numbers","Foundation;Formatting;Specifiers"
"What does %.2f format specifier do?","Formats floating-point numbers with 2 decimal places","Foundation;Formatting;Specifiers"
"What is autoboxing?","Automatic conversion from primitive to wrapper object","Foundation;Wrapper Classes;Autoboxing"
"What is unboxing?","Automatic conversion from wrapper object to primitive","Foundation;Wrapper Classes;Unboxing"
"What does Integer.parseInt() do?","Converts String to int primitive","Foundation;Wrapper Classes;Conversion"
"What does Double.parseDouble() do?","Converts String to double primitive","Foundation;Wrapper Classes;Conversion"
"What is the JVM?","Java Virtual Machine that executes bytecode","Foundation;Java Basics;JVM"
"What is bytecode?","Compiled Java code that runs on JVM","Foundation;Java Basics;Bytecode"
"What is javac?","Java compiler that creates bytecode from .java files","Foundation;Java Basics;Compiler"
"What is the difference between stack and heap memory?","Stack: local variables, Heap: objects and instance variables","Foundation;Memory;Stack vs Heap"
"What is garbage collection?","Automatic cleanup of unused objects in heap memory","Foundation;Memory;Garbage Collection"
"What is the String pool?","Shared storage for string literals to save memory","Foundation;Strings;String Pool"
"Are strings mutable in Java?","No, strings are immutable (cannot be changed)","Foundation;Strings;Immutability"
"What does String.equals() do?","Compares the content of two strings","Foundation;Strings;Methods"
"What does String.compareTo() return?","<0 if first comes before second, 0 if equal, >0 if first comes after","Foundation;Strings;Methods"
"What is a static variable?","A class variable that belongs to the class itself rather than any specific instance; there is exactly one copy regardless of how many objects are created","Static;Lesson5;Variables"
"How do you access a static variable?","Using the class name: ClassName.staticVariable","Static;Lesson5;Access"
"When is a static variable initialized?","When the class is first loaded into memory","Static;Lesson5;Initialization"
"What is a static method?","A method that belongs to the class itself and can be called without creating an instance","Static;Lesson5;Methods"
"How do you call a static method?","Using the class name: ClassName.staticMethod()","Static;Lesson5;Methods"
"Can static methods access instance variables?","No, static methods cannot access instance variables directly (no 'this' reference)","Static;Lesson5;Methods"
"What can static methods access?","Only static variables and other static methods","Static;Lesson5;Methods"
"What are common examples of static methods?","Math.sqrt(), Integer.parseInt(), System.out.println()","Static;Lesson5;Examples"
"What is the Math class used for?","Provides mathematical functions and constants","Math Class;Lesson5;Utilities"
"What are some Math class constants?","Math.PI (3.14159...), Math.E (2.71828...)","Math Class;Lesson5;Constants"
"What are some Math class methods?","Math.sqrt(), Math.pow(), Math.abs(), Math.max(), Math.min(), Math.random()","Math Class;Lesson5;Methods"
"What does Math.random() return?","A random double between 0.0 (inclusive) and 1.0 (exclusive)","Math Class;Lesson5;Methods"
"What is the Character class used for?","Provides methods for character manipulation and testing","Character Class;Lesson5;Utilities"
"What are some Character class methods?","Character.isLetter(), Character.isDigit(), Character.isUpperCase(), Character.toLowerCase(), Character.toUpperCase()","Character Class;Lesson5;Methods"
"What is stack memory?","Memory that stores local variables and method parameters","Memory;Lesson5;Stack"
"What is heap memory?","Memory that stores objects and instance variables","Memory;Lesson5;Heap"
"How are primitive types stored in memory?","Stored directly in memory (value semantics)","Memory;Lesson5;Primitives"
"How are reference types stored in memory?","Store memory address pointing to object (reference semantics)","Memory;Lesson5;References"
"What is a reference variable?","A variable that holds a memory address, not the actual object","References;Lesson5;Memory"
"What happens when you assign one reference variable to another?","The reference is copied, both variables point to the same object","References;Lesson5;Assignment"
"Can multiple reference variables point to the same object?","Yes, multiple variables can reference the same object","References;Lesson5;Multiple"
"When does an object become eligible for garbage collection?","When no references point to the object","References;Lesson5;Garbage Collection"
"How does Java pass parameters?","Java always passes parameters by value","Parameters;Lesson5;Pass by Value"
"What happens when you pass a primitive parameter?","A copy of the value is passed","Parameters;Lesson5;Primitives"
"What happens when you pass a reference parameter?","A copy of the reference is passed","Parameters;Lesson5;References"
"Can you change what a parameter references inside a method?","No, you cannot change what the parameter references","Parameters;Lesson5;Immutability"
"Can you modify the object that a parameter references?","Yes, you can modify the object through the reference","Parameters;Lesson5;Object Modification"
"What does assignment (=) do with class type variables?","Makes both variables reference the same object","Assignment;Lesson5;Class Types"
"What does equality (==) do with class type variables?","Compares memory addresses, not object contents","Equality;Lesson5;Class Types"
"How do you compare object contents?","Use the .equals() method","Equality;Lesson5;Object Contents"
"What is null?","A special value indicating no object reference","Null;Lesson5;Basics"
"What is a NullPointerException?","A runtime error that occurs when trying to use a null reference","Null;Lesson5;Exceptions"
"How do you prevent NullPointerException?","Always check for null before using object references","Null;Lesson5;Prevention"
"What are common causes of NullPointerException?","Uninitialized reference variables, method returns null","Null;Lesson5;Causes"
